;VPNID;X.x;Sco1R_Nb_mots;Sco1R_titre;Sco1R_Signature;Sco1R_GP;Sco1R_Fid;Sco1R_unitThem;Sco1R_unitThemNbre;Sco1R_Destinataire;Sco1R_AncrTemp_Echelle;Sco1R_AncrTemp_occurences;Sco1R_ProgrChrono_Occ;Sco1R_ProgrChrono;Sco1R_AncrSpat;Sco1R_RéfSpat;Sco1R_Textual;Sco1R_Coh_verb;Sco1R_Description;Sco1R_Ponct;Sco1R_Maj;Sco1R_Synt;Sco1R_Genre;Sco1R_Nombre;Sco1R_Cas;Sco1R_Verbal;Sco1R_Dialekt;Sco1R_remarques;P1R_Nb_mots;P1R_titre;P1R_Signature;P1R_GP;P1R_Fid;P1R_unitThem;P1R_unitThemNbre;P1R_Destinataire;P1R_AncrTemp_Echelle;P1R_AncrTemp_occurences;P1R_ProgrChrono_Occ;P1R_ProgrChrono;P1R_AncrSpat;P1R_RéfSpat;P1R_Textual;P1R_Coh_verb;P1R_Description;P1R_Ponct;P1R_Maj;P1R_Synt;P1R_Genre;P1R_Nombre;P1R_Verbal;P1R_remarques;Sco2R_Nb_mots;Sco2R_titre;Sco2R_Signature;Sco2R_GP;Sco2R_Fid;Sco2R_unitThem;Sco2R_unitThemNbre;Sco2R_Destinataire;Sco2R_AncrTemp_Echelle;Sco2R_AncrTemp_occurences;Sco2R_ProgrChrono_Occ;Sco2R_ProgrChrono;Sco2R_AncrSpat;Sco2R_RéfSpat;Sco2R_Textual;Sco2R_Coh_verb;Sco2R_Description;Sco2R_Ponct;Sco2R_Maj;Sco2R_Synt;Sco2R_Genre;Sco2R_Nombre;Sco2R_Cas;Sco2R_Verbal;Sco2R_Dialekt;Sco2R_remarques;P2R_Nb_mots;P2R_titre;P2R_Signature;P2R_GP;P2R_Fid;P2R_unitThem;P2R_unitThemNbre;P2R_Destinataire;P2R_AncrTemp_Echelle;P2R_AncrTemp_occurences;P2R_ProgrChrono_Occ;P2R_ProgrChrono;P2R_AncrSpat;P2R_RéfSpat;P2R_Textual;P2R_Coh_verb;P2R_Description;P2R_Ponct;P2R_Maj;P2R_Synt;P2R_Genre;P2R_Nombre;P2R_Verbal;P2R_remarques;Sco3R_Nb_mots;Sco3R_titre;Sco3R_Signature;Sco3R_GP;Sco3R_Fid;Sco3R_unitThem;Sco3R_unitThemNbre;Sco3R_Destinataire;Sco3R_AncrTemp_Echelle;Sco3R_AncrTemp_occurences;Sco3R_ProgrChrono_Occ;Sco3R_ProgrChrono;Sco3R_AncrSpat;Sco3R_RéfSpat;Sco3R_Textual;Sco3R_Coh_verb;Sco3R_Description;Sco3R_Ponct;Sco3R_Maj;Sco3R_Synt;Sco3R_Genre;Sco3R_Nombre;Sco3R_Cas;Sco3R_Verbal;Sco3R_Dialekt;Sco3R_remarques;P3R_Nb_mots;P3R_titre;P3R_Signature;P3R_GP;P3R_Fid;P3R_unitThem;P3R_unitThemNbre;P3R_Destinataire;P3R_AncrTemp_Echelle;P3R_AncrTemp_occurences;P3R_ProgrChrono_Occ;P3R_ProgrChrono;P3R_AncrSpat;P3R_RéfSpat;P3R_Textual;P3R_Coh_verb;P3R_Description;P3R_Ponct;P3R_Maj;P3R_Synt;P3R_Genre;P3R_Nombre;P3R_Verbal;P3R_remarques;hkngroup;Schulsprache;zweiSprachig;Group;PartDef;X.y;Sco1A_Nb_mots;Sco1A_Lieu;Sco1A_Date;Sco1A_Appel;Sco1A_Salutation;Sco1A_Signature;Sco1A_GP;Sco1A_Objet;Sco1A_Raisons;Sco1A_TC;Sco1A_Articulation;Sco1A_Destinataire;Sco1A_Organisateurs;Sco1A_Coh_verb;Sco1A_Ponct;Sco1A_Maj;Sco1A_Synt;Sco1A_Genre;Sco1A_Nombre;Sco1A_Cas;Sco1A_Verbal;Sco1A_Dialekt;P1A_Nb_mots;P1A_Lieu;P1A_Date;P1A_Appel;P1A_salutation;P1A_Signature;P1A_GP;P1A_Objet;P1A_Raisons;P1A_TC;P1A_Articulation;P1A_Destinataire;P1A_Organisateurs;P1A_Coh_verb;P1A_Ponct;P1A_Maj;P1A_Synt;P1A_Genre;P1A_Nombre;P1A_Cas;P1A_Verbal;Sco2A_Nb_mots;Sco2A_Lieu;Sco2A_Date;Sco2A_Appel;Sco2A_Salutation;Sco2A_Signature;Sco2A_GP;Sco2A_Objet;Sco2A_Raisons;Sco2A_TC;Sco2A_Articulation;Sco2A_Destinataire;Sco2A_Organisateurs;Sco2A_Coh_verb;Sco2A_Ponct;Sco2A_Maj;Sco2A_Synt;Sco2A_Genre;Sco2A_Nombre;Sco2A_Cas;Sco2A_Verbal;Sco2A_Dialekt;P2A_Nb_mots;P2A_Lieu;P2A_Date;P2A_Appel;P2A_Psalutation;P2A_Signature;P2A_GP;P2A_Objet;P2A_Raisons;P2A_TC;P2A_Articulation;P2A_Destinataire;P2A_Organisateurs;P2A_Coh_verb;P2A_Ponct;P2A_Maj;P2A_Synt;P2A_Genre;P2A_Nombre;P2A_Cas;P2A_Verbal;Sco3A_Nb_mots;Sco3A_Lieu;Sco3A_Date;Sco3A_Appel;Sco3A_Salutation;Sco3A_Signature;Sco3A_GP;Sco3A_Objet;Sco3A_Raisons;Sco3A_TC;Sco3A_Articulation;Sco3A_Destinataire;Sco3A_Organisateurs;Sco3A_Coh_verb;Sco3A_Ponct;Sco3A_Maj;Sco3A_Synt;Sco3A_Genre;Sco3A_Nombre;Sco3A_Cas;Sco3A_Verbal;Sco3A_Dialekt;P3A_Nb_mots;P3A_Lieu;P3A_Date;P3A_Appel;P3A_salutation;P3A_Signature;P3A_GP;P3A_Objet;P3A_Raisons;P3A_TC;P3A_Articulation;P3A_Destinataire;P3A_Organisateurs;P3A_Coh_verb;P3A_Ponct;P3A_Maj;P3A_Synt;P3A_Genre;P3A_Nombre;P3A_Cas;P3A_Verbal
1;A_PLF_1;1;11;0;0;0;1; Course d'école, bord du lac;2;0;0;NA;NA;0;1;0;1;1;NA;1;0;1;0;0;NA;0;NA;NA;20;0;0;0;1;dormir, tia, piscina, avós;4;0;0;NA;depois (2);1;1;0;1;1;2;0;0;2;0;1;3;NA;66;1;0;1;1; Course du soleil, courir autour du lac, boire de l'eau, être en premier, être vite, retour à l'école;6;0;0;NA;Après (2), en premier;2;1;0;1;3;3;0;2;2;0;0;NA;8;;NA;78;0;0;0;1;Portugal, avó, tio, tia, aeroporto, carro, praia, comer, caracóis, provar, gelado, agua, pés, fria, roupas, brinquedo, casa, dia;18;0;0;NA;quando, depois (6);2;1;0;1;3;3;1;1;2;0;0;5;NA;34;0;0;0;1;course, Pont-chalais, arriver en 4e, école, il plevait, 2 tours, moulléee;8;0;0;NA;NA;0;1;0;1;3;2;0;2;2;1;1;NA;2;;NA;66;0;0;0;NA;piscina, tia, x, saltar, nadar, nadadora, escorregas, vermelho, amarelo, azul, devagar, percurso;12;0;0;NA;0;0;1;0;1;3;2;1;2;3;0;0;1;a ecrit au present;PLF;f;1;f1;1;1;13;0;0;0;0;0;0;1;2;3;0;0;1;1;0;0;3;0;0;NA;2;NA;16;0;0;0;0;0;0;1;2;3;1;0;1;1;1;0;3;0;0;NA;2;47;0;0;0;0;0;0;1;3;4;1;0;2;1;1;2;4;0;1;NA;4;NA;30;0;0;1;0;0;1;1;3;4;2;1;2;1;1;1;1;0;0;NA;3;31;0;0;0;0;0;0;1;3;4;1;0;2;1;1;2;4;0;0;NA;1;NA;21;0;0;0;0;0;0;1;3;4;1;0;1;1;1;2;4;0;0;NA;3
2;A_PLF_10;2;35;0;0;0;1;École, magasin, jouets, forêt;4;0;1;Hier;NA;0;1;0;2;1;2;0;2;3;0;1;NA;5;NA;NA;17;0;0;0;1;jornal, grave, fogo, madeira, Portugal ;5;0;0;NA;0;0;0;0;0;3;1;1;1;3;0;0;0;NA;55;0;0;0;1;École, course d'école, Tomber, courir;4;0;0;NA;NA;0;0;0;0;2;3;0;2;2;0;2;NA;3;;NA;26;0;0;0;NA;férias, repousar, jornal, férias, trabalhar;5;1;0;NA;0;0;0;0;0;3;NA;0;2;2;0;0;1;a écrit au futur / present;20;0;0;0;1;Pont-chalais, foot, marcher, bien;4;0;0;NA;30 min;1;1;0;1;2;3;1;1;1;0;1;NA;1;;NA;49;0;0;0;1;férias, Portugal, semanas, amigos, pai, avós, piscina, bola, aeroporto, vir;10;0;0;NA;depois (2), e depois (3);2;1;0;1;1;2;0;2;2;0;0;7;NA;PLF;f;1;f1;1;2;25;0;0;1;0;0;1;1;0;1;0;1;0;2;0;2;0;0;0;NA;4;NA;23;0;0;1;0;0;1;0;0;0;0;1;0;3;0;2;2;0;0;NA;3;42;0;0;0;0;0;0;1;1;2;1;1;3;1;0;1;2;0;2;NA;1;NA;21;0;0;1;0;0;1;1;1;2;0;0;0;1;0;2;2;0;0;NA;1;27;0;0;0;0;0;0;1;3;4;1;0;1;1;1;2;4;0;0;NA;2;NA;28;0;0;0;0;0;0;1;3;4;0;0;1;1;0;1;2;0;0;NA;1
3;A_PLF_12;4;49;0;0;0;1;Lucerne, visiter, Musée des transports, Palais des glaces, glace, fabrication de la glace;6;0;0;NA;En même temps;1;1;0;1;3;2;1;2;4;1;1;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;47;1;0;1;1;Grotte aux fées, froid, cascades, fées, Explorer;6;0;0;NA;NA;0;1;0;1;3;3;2;2;4;1;1;NA;3;;NA;23;1;0;1;1;portugal, férias, nazaré, praia, onda, brincar, areia;7;0;0;NA;e depois;1;1;0;1;3;2;1;2;4;0;0;1;NA;49;0;0;0;1;bus, gare, piscine, classe, groupes, 45 min, nager, plonger, respirer;9;0;0;NA;45 min;1;1;0;1;2;2;2;2;4;0;0;NA;2;;glissement vers e présent (temps verbal);25;0;0;0;1;Portugal, nazaré, praia, rodas, areia, trampolim, comer, dia;8;0;0;NA;0;0;1;0;1;1;3;1;2;4;0;0;3;NA;PLF;f;1;f1;1;4;35;0;0;0;0;0;0;1;3;4;1;0;1;1;1;2;1;0;0;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26;0;0;1;1;0;2;1;3;4;3;1;1;1;1;2;3;0;1;NA;0;NA;21;0;0;0;1;1;2;1;3;4;3;1;2;1;1;2;3;0;0;NA;0;61;0;1;1;0;1;3;1;3;4;3;1;3;1;1;2;4;0;0;NA;0;NA;39;0;1;1;1;1;4;1;3;4;3;1;2;NA;1;2;4;0;0;NA;2
4;A_PLF_13;5;26;0;0;0;1;Jouer, couper des arbres, x, scotch;4;0;0;NA;NA;0;1;0;1;3;2;0;0;2;0;0;NA;5;NA;NA;15;0;0;0;1;praia, jogar, pistolas de água;3;0;0;NA;0;0;1;0;1;1;2;1;0;3;0;0;2;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;present mais rien écrit;21;0;0;0;1;courir, médailles, maison, faire le fou;4;0;0;NA;après;1;0;0;0;1;1;0;0;2;0;0;NA;0;;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PLF;f;1;f1;1;5;113;0;0;0;0;0;0;1;3;4;1;0;1;1;0;2;2;0;4;NA;12;NA;41;0;0;0;0;0;0;1;3;4;0;0;2;1;0;2;2;0;1;NA;5;45;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;2;0;2;NA;2;NA;31;0;0;0;0;0;0;1;3;4;0;0;1;1;0;2;2;0;0;NA;3;16;0;0;0;0;0;0;1;2;3;1;0;1;1;0;2;3;0;0;NA;3;NA;13;0;0;0;0;0;0;1;2;3;0;0;1;1;0;2;2;0;0;NA;1
5;A_PLF_14;6;6;0;0;0;1;piscine;1;0;0;NA;NA;0;1;0;1;1;NA;1;0;1;0;0;NA;0;NA;NA;10;0;0;0;1;Portugal, festa;2;0;0;NA;0;0;1;0;1;1;2;1;1;1;0;0;2;NA;10;0;0;0;1;Course, Tata;2;0;0;NA;NA;0;0;0;0;1;NA;1;2;1;0;0;NA;0;;NA;9;0;0;0;1;praia, contente;2;0;0;NA;0;0;1;0;1;1;1;1;2;3;0;0;1;NA;20;0;0;0;1;course, vélo, gaigner, il faisait beau, pique-nique;5;0;0;NA;NA;0;0;0;0;2;1;0;1;4;0;0;NA;0;;NA;27;0;0;0;1;paris, primos, torre eiffel, gelado, disney, hotel;6;0;0;NA;depois, e depois (2);2;1;0;1;1;2;0;1;2;0;0;4;NA;PLF;f;1;f1;1;6;17;0;0;0;0;0;0;1;2;3;0;0;2;1;1;1;1;0;0;NA;1;NA;8;0;0;0;0;0;0;1;1;2;0;0;0;1;1;2;1;0;0;NA;2;12;0;0;0;0;1;1;1;1;2;2;0;1;1;1;1;1;0;0;NA;0;NA;21;0;0;0;0;0;0;1;3;4;0;0;2;1;1;2;4;0;0;NA;4;13;0;0;0;0;0;0;1;1;2;0;0;1;2;0;2;3;0;0;NA;0;NA;18;0;0;0;0;0;0;1;3;4;1;0;0;1;1;2;3;0;0;NA;3
6;A_PLF_15;7;44;0;0;0;1;x, manger, activités, jeux;4;0;0;NA;Le matin (1), et après (3), À midi (1);3;1;0;1;3;2;0;1;2;0;1;NA;8;NA;NA;159;0;0;0;1;Portugal, dia de férias, irmã, mãe, medo, praia, avô, primo, cão, casa, brincar, bicicleta, aprender;13;0;0;NA;o primeiro dia, e depois (5), um dia… outro dia ;3;1;0;1;3;3;0;1;2;0;0;8;"confusions venue probablement du FR: - apprendre (au lieu de ""ensinar""); - faire à vélo";66;0;0;0;1;Spectacle, trous de l'enfer, dame, lent, garçon, père, sorcière, château, monstre, fin;10;0;0;NA;Au début, à la fin;2;1;0;1;3;2;0;0;3;0;4;NA;1;;NA;64;0;0;0;1;Portugal, dia, aniversário, avô, piscina, bolo, esperar, casa;8;0;0;NA;em primeiro, até ás 16h00, depois (2), e depois, até as 7h00;5;1;0;1;3;3;0;1;0;0;0;NA;NA;73;0;1;1;1;lac de Géronde, école, tour du lac, les premiers, la première, les autres, date;7;0;0;NA;40 min;1;1;0;1;3;3;0;2;2;0;2;NA;2;;NA;42;0;1;1;1;ano, dia, mediterraneo, praia, piscina, horas, comer, dançar, restaurante;9;0;1;um dia do ano 2013;até as 10h, e depois (2), até as 11h30;3;1;0;2;3;2;0;2;2;0;0;3;NA;PLF;f;1;f1;1;1;48;0;0;0;0;0;0;1;3;4;1;0;1;3;0;2;2;0;0;NA;2;NA;51;0;0;0;0;0;0;1;3;4;0;0;1;1;0;0;2;0;0;NA;2;48;0;0;0;0;0;0;1;2;3;1;0;2;3;0;1;2;0;0;NA;0;NA;48;0;0;1;0;0;1;1;3;4;2;1;2;3;1;1;4;0;0;NA;0;76;0;1;0;0;1;2;1;3;4;2;0;2;3;1;2;4;0;0;NA;3;NA;42;0;0;1;0;1;2;1;3;4;3;1;2;2;0;2;4;0;0;NA;1
7;A_PLF_16;8;11;0;0;0;1;Course de soleil, se fatiguer;2;0;0;NA;NA;0;0;0;0;1;1;1;0;1;1;0;NA;1;NA;NA;15;0;0;0;1;Macdo, cinema, restaurante ;3;0;0;NA;depois (2);1;1;0;1;1;2;1;1;1;0;0;1;NA;50;0;0;0;1;Rigoler, s'amuser, parents, restaurant, pizza, salade, viande, thé froid, eua, coca;10;0;0;NA;NA;0;1;0;1;1;2;1;2;3;0;2;NA;6;;NA;19;0;0;0;1;floresta, animais, viados, esquilos, pássaros, crocodilos;6;0;0;NA;0;0;1;0;1;1;2;2;2;3;0;0;0;NA;23;0;0;0;1;x, courir, en première, boire, manger;5;0;0;NA;après;1;1;0;1;2;2;1;2;4;0;0;NA;3;;NA;24;0;0;0;1;Portugal, casa, avó, avô, praia, brincar, cão, comprar;8;0;0;NA;0;0;1;0;1;1;2;1;0;4;0;0;1;NA;PLF;f;1;f1;1;8;26;0;0;1;0;0;1;1;3;4;1;1;1;3;0;1;3;0;0;NA;3;NA;17;0;0;0;0;0;0;1;2;3;0;0;1;1;1;2;1;0;1;NA;1;23;0;0;0;0;0;0;1;3;4;1;0;1;1;2;2;1;0;0;NA;2;NA;42;0;0;0;0;0;0;1;3;4;0;0;2;1;0;2;2;0;0;NA;1;36;0;0;1;0;0;1;1;3;4;2;1;1;2;1;2;4;0;1;NA;1;NA;18;0;0;0;0;0;0;1;3;4;1;0;1;1;1;2;4;0;0;NA;3
8;A_PLF_17;9;13;0;0;0;1;Sortie d'école, courir, voiture;3;0;0;NA;NA;0;0;0;0;0;1;0;2;1;1;0;NA;1;NA;NA;13;0;0;0;1;bicicleta, acidente, primo ;3;0;0;NA;0;0;0;0;0;1;1;1;2;3;0;0;0;NA;41;1;0;1;1;Course du soleil, terrain de x, course, maîtresse, rentrer;5;0;0;NA;Après (2);1;1;0;1;1;2;0;2;2;0;0;NA;4;;NA;18;0;0;0;1;Portugal, avó, tios, tias;4;0;0;NA;0;0;1;0;1;1;2;1;2;3;0;0;2;NA;36;0;0;0;1;musée, animaux, nom, bruit, serpent, génial;6;0;0;NA;NA;0;1;0;1;3;3;0;2;2;1;3;NA;0;;NA;27;0;0;0;1;algarve, praia, piscina, passear, bonito, feira, coisas;7;0;0;NA;a noite;1;1;0;1;3;3;0;1;2;0;0;2;NA;PLF;f;1;f1;1;2;48;0;0;0;0;0;0;1;3;4;0;0;1;1;1;2;3;0;3;NA;5;NA;21;0;0;0;0;0;0;1;2;3;0;NA;1;1;1;2;4;0;0;NA;2;25;0;0;1;1;1;3;1;1;2;3;1;1;1;1;2;3;0;0;NA;0;NA;17;0;0;0;1;1;2;1;3;4;2;0;1;1;1;2;3;0;0;NA;4;42;0;0;0;0;0;0;1;2;3;0;0;1;1;0;2;2;0;0;NA;0;NA;28;0;0;0;0;0;0;1;3;4;1;0;1;1;1;2;3;1;1;NA;2
9;A_PLF_19;11;21;0;0;0;1;pièrre, fossil, dinosaure, sauterelle;4;0;0;NA;NA;0;0;0;0;1;1;0;2;1;0;3;NA;1;NA;NA;24;0;1;1;1;praia, tio, nadar, castelos de areia, casa;5;0;0;NA;0;0;1;0;1;3;2;0;2;2;0;0;2;NA;32;0;0;0;1;Courir 500 m, gagner, on lui a félicité, à Gérone, 6 ans, avant 8 ans, pause;7;0;0;NA;Puis;1;1;0;1;1;1;0;2;1;0;0;NA;4;;NA;20;0;0;0;1;livro, corpo, mamas, macaco, engraçado, cú;6;0;0;NA;0;0;0;0;0;3;1;0;1;2;0;0;2;NA;27;0;0;0;1;course, lac, short et t-shirt, gourde, cool;5;0;0;NA;NA;0;1;0;1;2;3;0;2;2;0;0;NA;1;;NA;44;0;1;1;1;ola, Portugal, casa, brincar, primos, café, praia, avó, comer, piscina, jantar, café, cama;13;1;0;NA;e depois  ;1;1;0;1;1;2;0;1;2;0;0;1;NA;PLF;f;1;f1;1;11;27;0;0;0;0;0;0;1;3;4;1;0;2;1;1;1;3;0;0;NA;2;NA;58;0;0;0;1;1;2;1;3;4;1;1;2;1;0;2;2;0;1;NA;7;26;0;0;0;0;0;0;1;3;4;1;0;1;1;2;1;3;0;0;NA;0;NA;25;0;0;1;0;0;1;1;3;4;3;1;1;3;1;2;4;0;0;NA;1;105;0;0;1;1;0;2;1;3;4;3;1;2;3;1;2;3;9;2;NA;5;NA;20;0;0;0;0;1;1;1;3;4;1;1;1;1;2;2;4;0;0;NA;1
10;A_PLF_2;12;13;0;0;0;1;x, y, chevaux;3;0;0;NA;NA;0;1;0;1;1;1;0;0;2;1;2;NA;3;NA;NA;17;0;0;0;1;mar, nadar, aquário, piscina;4;0;0;NA;depois (2);1;1;0;1;1;2;0;2;2;0;0;0;NA;19;0;0;0;1;Lac, course de Géronde, courir, jouer, crier;5;0;0;NA;NA;0;1;0;1;3;2;1;0;2;0;0;NA;3;;NA;14;0;0;0;1;praia, nadar, x, futebol;4;0;0;NA;0;0;1;0;1;1;2;1;1;1;0;0;2;NA;37;0;0;0;1;tomber, se relever, blessures, course, en 2ème, attraper, medaille;7;0;0;NA;à la moitié de la course, et (2);2;0;0;0;1;1;1;1;1;1;1;NA;3;;NA;242;0;0;0;1;Portugal, algarve, campismo, praia, agua, park, brincar, casa, irmão, camas, barulho, dormir, dia, praia, brigar, pai, irmão, água, ondas, comer, nintendo, amigo, casa, viseu, bar, avô, avó, madrid, avião, genebra, carro, vizinho, futebol, piscina, aniversario, prendas, madrinha, treino, sobrinho, balisa, equipa, gols, jogar;43;0;0;NA;depois (16), no dia depois, outra vez, e;4;1;2;3;3;2;0;2;2;0;0;20;NA;PLF;f;1;f1;1;12;9;0;0;0;0;0;0;1;1;2;0;0;1;1;0;0;3;0;0;NA;2;NA;11;0;0;0;0;0;0;1;1;2;1;0;1;1;0;2;3;0;0;NA;2;30;0;0;0;0;0;0;1;3;4;0;0;1;1;1;0;1;0;0;NA;5;NA;20;0;0;0;0;0;0;1;2;3;1;0;1;1;0;2;3;0;1;NA;1;27;0;0;0;0;0;0;1;3;4;1;0;2;1;1;2;4;0;0;NA;0;NA;48;0;0;0;0;0;0;1;3;4;0;0;1;1;0;2;3;0;0;NA;6
11;A_PLF_3;14;12;0;0;0;1;lac, x;2;0;0;NA;NA;0;1;0;1;1;1;0;0;2;0;0;NA;1;NA;NA;29;0;0;0;1;futebol, equipa, batatas com ketshup;3;0;0;NA;0;0;1;0;1;1;2;0;1;2;0;0;0;des parties incomprehensibles;40;0;0;0;1;Course d'école, lac de Géronde, x, arriver en premier, danser, parents, y, fêter;8;0;0;NA;10h-16h;1;1;0;1;3;2;0;1;2;0;1;NA;4;;NA;8;0;0;0;1;alemanha, europapark, bem;3;0;0;NA;0;0;1;0;1;1;1;0;1;2;0;0;0;NA;31;1;0;1;1;château, manger, jouer, cache-cache, visiter, photo, grottes, trappes;8;0;0;NA;NA;0;1;0;1;1;2;0;1;2;0;2;NA;4;;NA;39;0;0;0;NA;pistolas, prima, floresta, atirar, escondido, matar, esconder, conseguir, nomes;9;0;0;NA;0;0;1;0;1;3;NA;0;1;2;0;0;3;Au present!;PLF;f;1;f1;1;3;31;0;0;0;0;1;1;1;3;4;1;0;2;3;0;0;2;0;0;NA;1;NA;12;0;0;0;0;0;0;1;2;3;1;0;1;1;0;2;3;1;0;NA;1;167;0;0;0;0;0;0;1;3;4;1;0;3;1;0;1;2;0;11;NA;7;NA;10;0;0;0;0;0;0;1;3;4;0;0;1;1;0;0;2;0;0;NA;0;17;0;0;0;0;0;0;1;3;4;0;0;0;1;1;2;1;0;0;NA;0;NA;18;0;0;0;0;0;0;1;3;4;0;0;1;1;0;0;2;1;0;NA;0
12;A_PLF_4;15;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;présent mais rien écrit;24;0;0;0;1;Course du soleil, en cinquième place, chaud, soif, faim, manger;6;0;0;NA;NA;0;0;0;0;2;2;1;2;1;0;0;NA;5;;NA;50;0;0;0;1;dia, férias, avó, coelhos, ovelhas, cadela, chamar-se, mãe, férias, tele, tablette, computador, deveres;13;0;0;NA;no dia seguinte;1;1;0;1;3;2;0;2;2;0;0;2;NA;18;0;0;0;1;lac, course, courrir, en 5e;4;0;0;NA;à la fin;1;1;0;1;1;2;1;2;3;1;0;NA;2;;NA;13;0;0;0;1;passear, férias, Portugal, jogos, brincar, amigos;6;0;0;NA;0;0;1;0;1;1;2;0;1;2;0;0;1;NA;PLF;f;1;f1;1;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;22;0;0;0;0;0;0;1;3;4;0;0;1;1;1;2;2;0;0;NA;1;17;0;0;0;0;0;0;1;1;2;0;0;2;1;1;2;2;0;0;NA;1;NA;14;0;0;0;0;0;0;1;3;4;0;0;1;1;1;2;3;0;0;NA;0;18;0;0;0;0;0;0;1;3;4;1;0;1;1;0;2;3;0;0;NA;3;NA;39;0;0;0;0;0;0;1;3;4;1;1;2;3;1;1;3;0;0;NA;1
13;A_PLF_5;16;14;0;0;0;1;Dictée, gym;2;0;1;Ce matin;Ce matin, l'après-midi;2;0;0;1;1;1;0;2;2;0;0;NA;0;NA;NA;8;0;0;0;1;italia, camping;2;0;0;NA;durante 10 dias;1;1;0;1;1;2;0;2;1;0;0;0;NA;33;0;0;0;1;Course, parents, au bord du Rhône, tomber, se tordre la cheville, guerir;6;0;0;NA;NA;0;1;0;1;1;2;0;NA;2;2;1;NA;0;;NA;20;0;0;0;1;mar, melgas, botões, maman, x, y;6;0;0;NA;depois;1;1;0;1;1;2;0;2;2;0;0;2;NA;12;0;0;0;1;promenade, école;2;0;0;NA;NA;0;0;0;0;1;NA;1;0;1;0;0;NA;1;;NA;19;0;0;0;1;praia, pais, camping, italia;4;0;0;NA;0;0;1;0;1;1;2;0;2;2;0;0;1;NA;PLF;f;1;f1;1;16;13;0;0;0;0;0;0;1;1;2;0;0;1;1;1;1;1;0;0;NA;1;NA;25;0;0;0;0;0;0;1;3;4;0;0;1;1;1;2;3;0;0;NA;0;31;0;0;0;0;0;0;1;2;3;1;0;2;1;0;2;2;0;0;NA;2;NA;22;0;0;0;0;0;0;1;3;4;0;0;1;1;1;2;1;0;0;NA;1;23;0;0;1;1;1;3;1;2;3;3;1;1;1;1;2;3;0;0;NA;2;NA;28;0;0;0;0;0;0;1;3;4;1;0;1;1;0;2;3;0;1;NA;1
14;A_PLF_6;17;12;0;0;0;1;l'école, courir;2;0;0;NA;NA;0;1;0;1;1;1;1;0;1;0;1;NA;1;NA;NA;7;0;0;0;1;Portugal, casa, brincar;3;0;0;NA;0;0;1;0;1;1;2;0;0;2;0;0;3;NA;26;0;0;0;1;Course de Noël, premier, maison, jouer;4;0;0;NA;NA;0;0;0;0;1;1;0;0;2;1;0;NA;1;;Il y a des parties incompréhensibles;37;0;0;0;1;piscina, cinema, jogo, comer, avó, match, ganhar;7;0;0;NA;toda a manhã, dpois (4);2;1;0;1;3;2;0;0;2;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PLF;f;1;f1;1;4;34;0;0;0;0;0;0;1;2;3;1;0;1;1;1;2;2;0;1;NA;4;NA;21;0;0;0;0;0;0;1;3;4;1;0;1;1;1;2;3;0;0;NA;1;30;0;0;0;0;0;0;1;3;4;0;0;1;1;0;2;2;0;0;NA;3;NA;28;0;0;0;0;0;0;1;3;4;0;0;2;1;0;2;2;0;0;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
