rt,trial_type,trial_index,time_elapsed,SubjectID,stimulus,button_pressed,PartExperiment
1639,button-response,16,47049,0oq70qgrdzv2e1fkonw5284hl652fsjx,Brust,1,GermanArticles
1998,button-response,17,49110,0oq70qgrdzv2e1fkonw5284hl652fsjx,Berg,0,GermanArticles
1873,button-response,18,51049,0oq70qgrdzv2e1fkonw5284hl652fsjx,Chor,2,GermanArticles
1621,button-response,19,52734,0oq70qgrdzv2e1fkonw5284hl652fsjx,Spur,1,GermanArticles
1801,button-response,20,54599,0oq70qgrdzv2e1fkonw5284hl652fsjx,Pflicht,0,GermanArticles
1851,button-response,21,56513,0oq70qgrdzv2e1fkonw5284hl652fsjx,Bahn,2,GermanArticles
2548,button-response,22,59129,0oq70qgrdzv2e1fkonw5284hl652fsjx,Beil,0,GermanArticles
2031,button-response,23,61224,0oq70qgrdzv2e1fkonw5284hl652fsjx,Pfahl,1,GermanArticles
1571,button-response,24,62858,0oq70qgrdzv2e1fkonw5284hl652fsjx,Front,2,GermanArticles
2073,button-response,25,64996,0oq70qgrdzv2e1fkonw5284hl652fsjx,Stern,0,GermanArticles
9326,button-response,26,74384,0oq70qgrdzv2e1fkonw5284hl652fsjx,Wurst,0,GermanArticles
2445,button-response,27,76894,0oq70qgrdzv2e1fkonw5284hl652fsjx,Kinn,2,GermanArticles
6450,button-response,28,83407,0oq70qgrdzv2e1fkonw5284hl652fsjx,Stadt,0,GermanArticles
2191,button-response,29,85661,0oq70qgrdzv2e1fkonw5284hl652fsjx,Saal,1,GermanArticles
2286,button-response,30,88010,0oq70qgrdzv2e1fkonw5284hl652fsjx,Knie,2,GermanArticles
1791,button-response,31,89863,0oq70qgrdzv2e1fkonw5284hl652fsjx,Sicht,0,GermanArticles
2259,button-response,32,92188,0oq70qgrdzv2e1fkonw5284hl652fsjx,Frucht,1,GermanArticles
1668,button-response,33,93920,0oq70qgrdzv2e1fkonw5284hl652fsjx,Deich,0,GermanArticles
1739,button-response,34,95725,0oq70qgrdzv2e1fkonw5284hl652fsjx,Nacht,1,GermanArticles
2756,button-response,35,98543,0oq70qgrdzv2e1fkonw5284hl652fsjx,Licht,2,GermanArticles
1531,button-response,36,100136,0oq70qgrdzv2e1fkonw5284hl652fsjx,Horn,0,GermanArticles
3061,button-response,37,103272,0oq70qgrdzv2e1fkonw5284hl652fsjx,Brot,2,GermanArticles
2772,button-response,38,106107,0oq70qgrdzv2e1fkonw5284hl652fsjx,Platz,0,GermanArticles
5818,button-response,39,111987,0oq70qgrdzv2e1fkonw5284hl652fsjx,Wald,2,GermanArticles
6923,button-response,40,118973,0oq70qgrdzv2e1fkonw5284hl652fsjx,Hand,2,GermanArticles
4936,button-response,41,123971,0oq70qgrdzv2e1fkonw5284hl652fsjx,Ohr,0,GermanArticles
3559,button-response,42,127589,0oq70qgrdzv2e1fkonw5284hl652fsjx,Tour,2,GermanArticles
2677,button-response,43,130327,0oq70qgrdzv2e1fkonw5284hl652fsjx,Glut,1,GermanArticles
2267,button-response,44,132660,0oq70qgrdzv2e1fkonw5284hl652fsjx,Mund,0,GermanArticles
3308,button-response,45,136031,0oq70qgrdzv2e1fkonw5284hl652fsjx,Preis,2,GermanArticles
2244,button-response,47,146471,0oq70qgrdzv2e1fkonw5284hl652fsjx,het woord,0,DutchArticlesUsual
2548,button-response,48,149083,0oq70qgrdzv2e1fkonw5284hl652fsjx,ne gloed,1,DutchArticlesUsual
6504,button-response,49,155649,0oq70qgrdzv2e1fkonw5284hl652fsjx,ne vrucht,1,DutchArticlesUsual
8190,button-response,50,163900,0oq70qgrdzv2e1fkonw5284hl652fsjx,nen bijl,2,DutchArticlesUsual
1658,button-response,51,165619,0oq70qgrdzv2e1fkonw5284hl652fsjx,ne geur,1,DutchArticlesUsual
2312,button-response,52,167996,0oq70qgrdzv2e1fkonw5284hl652fsjx,de naam,0,DutchArticlesUsual
3055,button-response,53,171114,0oq70qgrdzv2e1fkonw5284hl652fsjx,ne plicht,1,DutchArticlesUsual
2824,button-response,54,174003,0oq70qgrdzv2e1fkonw5284hl652fsjx,ne stad,1,DutchArticlesUsual
2479,button-response,55,176543,0oq70qgrdzv2e1fkonw5284hl652fsjx,ne kant,1,DutchArticlesUsual
3390,button-response,56,180002,0oq70qgrdzv2e1fkonw5284hl652fsjx,het stoel,2,DutchArticlesUsual
2728,button-response,57,182791,0oq70qgrdzv2e1fkonw5284hl652fsjx,de trein,0,DutchArticlesUsual
1468,button-response,58,184322,0oq70qgrdzv2e1fkonw5284hl652fsjx,ne mand,1,DutchArticlesUsual
7614,button-response,59,191998,0oq70qgrdzv2e1fkonw5284hl652fsjx,de pijn,0,DutchArticlesUsual
2082,button-response,60,194141,0oq70qgrdzv2e1fkonw5284hl652fsjx,de vuur,2,DutchArticlesUsual
1665,button-response,61,195867,0oq70qgrdzv2e1fkonw5284hl652fsjx,het jaar,0,DutchArticlesUsual
1893,button-response,62,197822,0oq70qgrdzv2e1fkonw5284hl652fsjx,het fiets,2,DutchArticlesUsual
2066,button-response,63,199949,0oq70qgrdzv2e1fkonw5284hl652fsjx,het rol,2,DutchArticlesUsual
1767,button-response,64,201778,0oq70qgrdzv2e1fkonw5284hl652fsjx,het veld,0,DutchArticlesUsual
2588,button-response,65,204433,0oq70qgrdzv2e1fkonw5284hl652fsjx,de speld,0,DutchArticlesUsual
1640,button-response,66,206145,0oq70qgrdzv2e1fkonw5284hl652fsjx,de ding,2,DutchArticlesUsual
2262,button-response,67,208467,0oq70qgrdzv2e1fkonw5284hl652fsjx,de beeld,2,DutchArticlesUsual
2022,button-response,68,210552,0oq70qgrdzv2e1fkonw5284hl652fsjx,het maand,2,DutchArticlesUsual
1922,button-response,69,212536,0oq70qgrdzv2e1fkonw5284hl652fsjx,ne kin,1,DutchArticlesUsual
1853,button-response,70,214450,0oq70qgrdzv2e1fkonw5284hl652fsjx,ne stap,1,DutchArticlesUsual
1794,button-response,71,216305,0oq70qgrdzv2e1fkonw5284hl652fsjx,de werk,2,DutchArticlesUsual
2386,button-response,72,218750,0oq70qgrdzv2e1fkonw5284hl652fsjx,ne knie,1,DutchArticlesUsual
2276,button-response,73,221087,0oq70qgrdzv2e1fkonw5284hl652fsjx,de hart,2,DutchArticlesUsual
2087,button-response,74,223235,0oq70qgrdzv2e1fkonw5284hl652fsjx,ne poort,1,DutchArticlesUsual
1794,button-response,75,225091,0oq70qgrdzv2e1fkonw5284hl652fsjx,het huis,0,DutchArticlesUsual
7267,button-response,76,232421,0oq70qgrdzv2e1fkonw5284hl652fsjx,het stuk,0,DutchArticlesUsual
1799,button-response,77,234282,0oq70qgrdzv2e1fkonw5284hl652fsjx,ne zaal,1,DutchArticlesUsual
899,button-response,78,235242,0oq70qgrdzv2e1fkonw5284hl652fsjx,ne zaak,1,DutchArticlesUsual
2520,button-response,79,237823,0oq70qgrdzv2e1fkonw5284hl652fsjx,het film,2,DutchArticlesUsual
3405,button-response,80,241289,0oq70qgrdzv2e1fkonw5284hl652fsjx,de koek,0,DutchArticlesUsual
2035,button-response,82,252369,0oq70qgrdzv2e1fkonw5284hl652fsjx,nen bijl,1,DutchArticlesOwnUse
1557,button-response,83,253987,0oq70qgrdzv2e1fkonw5284hl652fsjx,ne stad,1,DutchArticlesOwnUse
1031,button-response,84,255079,0oq70qgrdzv2e1fkonw5284hl652fsjx,ne poort,1,DutchArticlesOwnUse
886,button-response,85,256024,0oq70qgrdzv2e1fkonw5284hl652fsjx,ne kant,1,DutchArticlesOwnUse
801,button-response,86,256884,0oq70qgrdzv2e1fkonw5284hl652fsjx,ne zaal,1,DutchArticlesOwnUse
817,button-response,87,257760,0oq70qgrdzv2e1fkonw5284hl652fsjx,ne mand,1,DutchArticlesOwnUse
774,button-response,88,258594,0oq70qgrdzv2e1fkonw5284hl652fsjx,ne zaak,1,DutchArticlesOwnUse
783,button-response,89,259436,0oq70qgrdzv2e1fkonw5284hl652fsjx,ne kin,1,DutchArticlesOwnUse
861,button-response,90,260358,0oq70qgrdzv2e1fkonw5284hl652fsjx,ne plicht,1,DutchArticlesOwnUse
811,button-response,91,261229,0oq70qgrdzv2e1fkonw5284hl652fsjx,ne gloed,1,DutchArticlesOwnUse
753,button-response,92,262043,0oq70qgrdzv2e1fkonw5284hl652fsjx,ne knie,1,DutchArticlesOwnUse
768,button-response,93,262872,0oq70qgrdzv2e1fkonw5284hl652fsjx,ne vrucht,1,DutchArticlesOwnUse
759,button-response,94,263690,0oq70qgrdzv2e1fkonw5284hl652fsjx,ne geur,1,DutchArticlesOwnUse
905,button-response,95,264654,0oq70qgrdzv2e1fkonw5284hl652fsjx,ne stap,1,DutchArticlesOwnUse
6123,button-response,2,108464,0r2g5ss083g6ath2hnerzhz6t70zadq4,Uhr,0,GermanArticles
6148,button-response,3,114671,0r2g5ss083g6ath2hnerzhz6t70zadq4,Fleck,2,GermanArticles
16463,button-response,4,131190,0r2g5ss083g6ath2hnerzhz6t70zadq4,Mund,1,GermanArticles
2107,button-response,5,133356,0r2g5ss083g6ath2hnerzhz6t70zadq4,Hand,0,GermanArticles
2619,button-response,6,136034,0r2g5ss083g6ath2hnerzhz6t70zadq4,Bahn,1,GermanArticles
5094,button-response,7,141186,0r2g5ss083g6ath2hnerzhz6t70zadq4,Horn,0,GermanArticles
5701,button-response,8,146946,0r2g5ss083g6ath2hnerzhz6t70zadq4,Pfahl,0,GermanArticles
6776,button-response,9,153781,0r2g5ss083g6ath2hnerzhz6t70zadq4,Steak,1,GermanArticles
2253,button-response,10,156090,0r2g5ss083g6ath2hnerzhz6t70zadq4,Wald,2,GermanArticles
6615,button-response,11,162764,0r2g5ss083g6ath2hnerzhz6t70zadq4,Lohn,2,GermanArticles
3542,button-response,12,166361,0r2g5ss083g6ath2hnerzhz6t70zadq4,Brust,1,GermanArticles
2825,button-response,13,169240,0r2g5ss083g6ath2hnerzhz6t70zadq4,Spur,2,GermanArticles
